"","V1","V2","V3","V4"
"1",0.188,0.993,0.816,0.739
"2",0.202,0.996,0.8,0.755
"3",0.199,0.989,0.779,0.742
"4",0.211,0.993,0.808,0.729
"5",0.213,0.991,0.814,0.707
"6",0.224,0.989,0.805,0.718
"7",0.214,0.991,0.833,0.727
"8",0.212,0.993,0.852,0.745
"9",0.222,0.989,0.818,0.698
"10",0.206,0.991,0.824,0.701
"11",0.269,0.984,0.827,0.699
"12",0.238,0.991,0.826,0.682
"13",0.221,0.997,0.839,0.674
"14",0.233,0.995,0.828,0.681
"15",0.262,0.992,0.847,0.677
"16",0.248,0.989,0.841,0.661
"17",0.248,0.996,0.846,0.669
"18",0.265,0.989,0.854,0.657
"19",0.27,0.99,0.857,0.658
"20",0.273,0.986,0.876,0.627
"21",0.27,0.988,0.859,0.631
"22",0.279,0.984,0.866,0.613
"23",0.309,0.99,0.86,0.619
"24",0.293,0.993,0.868,0.609
